쿠링	19	19	18	20	22
쿠쿠르	20	20	18	17	24
포링	18	18	20	18	24
범링	18	21	22	24	27
토끼	18	27	23	21	26
노스키	18	22	22	21	29
라스키	18	20	27	21	27
산타토끼	20	25	25	24	33
얼룩토끼	20	25	25	24	33
골드카비트	19	16	20	16	28
카비트	18	14	19	19	27
케이비	20	14	19	19	27
큐이	15	13	20	17	25
기라비	21	19	20	23	26
블루카비트	22	20	20	19	25
연두큐이	19	26	25	23	31
카이비	20	25	25	31	22
고르고	27	25	30	20	21
고르돈	28	28	28	26	18
기라돈	23	28	27	23	19
투르돈	27	28	30	21	20
고라돈	25	32	30	27	21
노라돈	25	31	30	21	26
실버고르돈	26	29	31	22	21
환생실버고르돈	27	37	30	24	22
철기돈	25	28	25	35	18
쿠보	25	26	26	26	17
토로쟈	21	25	26	25	16
포보	19	28	23	26	14
휴보	18	26	28	25	16
노보	22	26	26	29	24
부르보	18	25	27	27	22
타루쟈	25	25	32	26	18
푸보	23	33	27	26	17
바우	17	16	23	20	28
바카	20	17	26	19	27
카우	17	15	23	23	26
카쿠	18	20	21	21	24
바카우	19	19	30	22	31
바쿠	19	21	26	27	27
바쿠우	20	26	26	24	27
푸쿠	19	20	32	22	28
고르고르	21	20	30	13	28
환생고르고르	20	23	35	14	31
노르노르	25	19	29	18	29
환생노르노르	24	22	32	18	31
베루루	23	21	30	13	28
환생베루루	22	24	33	15	32
베르가	24	23	28	16	25
환생베르가	23	26	33	17	29
고루루	25	26	36	16	26
도르도르	24	25	34	16	30
백호	30	26	35	24	24
페루루	24	25	35	16	31
고르르	21	23	35	15	31
도르르	24	25	34	16	30
로르로르	24	24	33	17	31
베라라	24	24	35	15	31
설호	24	24	32	15	28
슈케르	24	25	34	15	32
에덴페루루	21	25	33	16	31
제르가	21	23	33	13	28
환생제르가	20	25	35	15	30
체루루	24	24	33	16	30
테라라	24	24	34	16	31
표범	27	40	37	35	3
프루루	24	23	28	16	25
흑호	24	26	34	15	30
토르프스	14	26	19	29	9
토리케라	18	27	18	28	10
펜타스	16	28	17	28	11
토리노프스	12	26	21	26	12
타르프스	16	29	20	33	16
노타스	17	28	20	26	16
코발스	17	35	22	29	13
타노프스	19	34	26	28	16
첸타스	18	32	24	35	17
고반케스	18	27	27	16	14
환생고반케스	21	32	35	21	20
쟈그	23	30	27	13	16
환생쟈그	23	35	35	17	22
쟈그라	22	26	30	14	16
환생쟈그라	23	29	37	18	21
판지	16	28	26	15	14
환생판지	21	34	33	20	20
석화케스	20	38	32	15	18
쟈하드	23	30	36	15	23
판그	19	33	30	19	17
환생판그	19	33	34	21	19
판그라	24	26	38	15	25
검은쟈그	24	25	32	21	26
골드케스	21	25	38	15	26
아연케스	25	27	37	16	25
푸케스	24	28	37	15	24
가가로스	26	30	33	30	12
환생가가로스	28	32	34	31	12
기가로스	28	28	29	30	18
환생기가로스	29	29	30	31	18
메가로스	24	33	28	31	11
환생메가로스	26	35	29	32	12
비트로스	25	28	33	28	14
환생비트로스	26	31	34	28	14
기트로스	23	33	34	31	11
노트로스	24	38	33	38	3
돌가로스	25	37	34	34	6
라가로스	23	34	33	34	8
부포로스	26	34	35	33	8
흑가로스	24	25	35	29	9
루이	22	34	20	24	10
무이	20	36	19	22	10
씨보스	21	34	19	26	9
투이	24	33	23	24	10
가이	22	39	24	28	11
노보스					
누이	21	35	25	33	14
루보스	21	37	23	32	12
다이노	25	37	27	33	6
환생다이노	25	40	27	38	6
다이노스	26	40	23	32	7
환생다이노스	25	44	25	36	6
스텐토스	28	40	25	35	5
환생스텐토스	26	41	26	37	6
프라키토스	24	35	35	28	6
환생프라키토스	24	39	36	29	6
프리토스	28	37	30	27	10
환생프리토스	28	39	31	30	11
노라키토스	26	39	29	34	10
브라키오스	25	39	30	36	10
푸비토스	28	34	36	39	2
아라키오스	25	43	28	34	9
우라키토스	27	36	36	38	3
크라키오스	26	40	35	32	7
크라토스	24	36	37	27	8
푸텐토스	26	44	27	36	7
화이토스	25	42	30	38	5
만모	27	50	25	15	8
환생만모	24	52	29	27	8
마모나스	26	51	25	12	10
환생마모나스	23	52	29	24	11
만모로스	25	51	26	12	11
환생만모로스	23	51	29	23	11
만모르	24	48	27	12	10
환생만모르	22	51	33	21	11
만모드	24	51	25	18	10
메모스					
실버로스	27	54	27	17	13
푸모나스	26	53	30	23	7
도라비스	23	24	31	20	30
환생도라비스	25	24	32	20	30
카르곤	26	22	33	24	24
환생카르곤	28	23	35	24	23
테라곤	27	23	31	23	25
환생테라곤	27	24	33	21	26
포이비스	24	24	30	24	26
환생포이비스	27	25	31	23	27
골드테라곤	25	24	30	25	28
실버라곤	24	28	38	22	21
테라돈	27	28	31	22	27
푸테라	28	25	34	20	26
로사곤	23	27	39	20	21
아드비스	25	28	34	22	22
크로비스	24	37	37	27	13
카키	20	17	23	11	33
환생카키	20	20	28	12	37
쿠쿠	20	18	22	10	35
환생쿠쿠	20	19	24	12	37
타키	17	19	18	10	33
환생타키	18	20	23	13	36
호르쿠	18	20	16	12	33
환생호르쿠	18	22	22	14	36
쥬키	19	22	24	13	38
환생쥬키	20	22	25	14	38
타르쿠	18	23	20	17	36
환생타르쿠	18	24	24	18	39
푸타카	18	26	22	14	33
환생푸타카	18	26	25	15	38
흑카키	25	26	25	15	40
핑키	20	17	23	11	33
골로스	28	23	35	25	21
모가로스	27	23	37	20	25
환생모가로스	27	24	38	20	25
오가로스	25	26	29	28	20
환생오가로스	26	27	30	29	20
오르곤	26	28	30	22	22
환생오르곤	25	31	31	23	22
노르곤	30	24	33	20	29
지가로스	30	25	35	22	25
칼로스	27	25	37	17	27
푸룡	25	29	34	26	20
녹룡	25	26	34	25	22
다크로스	27	25	37	15	29
묵룡	26	37	35	37	2
백룡	27	28	36	24	21
설곤	26	29	33	23	21
은하로스	30	23	34	19	30
제가로스	27	23	35	20	26
주르곤	29	25	36	18	28
지룡	27	30	37	28	14
카르노스	25	25	28	31	20
환생카르노스	25	26	29	32	21
홍련	28	25	35	23	24
황금골로스	27	29	34	27	19
라나프	28	18	26	24	29
라이혼	30	20	25	25	30
모나시프	25	23	23	24	28
타이혼	30	20	28	20	32
프이토	26	19	22	25	29
모이토	27	22	22	30	26
차이혼	30	26	26	23	29
파라프	24	22	24	22	29
다이노로스	24	33	23	22	22
스토라지	21	34	19	23	19
아리노스	26	33	19	25	18
아토라지	20	36	20	23	21
타르노로스	23	34	21	22	20
다리노스	26	30	31	15	28
아리노로스					
푸르노로스	23	38	21	29	20
노스토로스	24	21	24	19	23
코리토르스	19	24	20	22	20
바로로크스	22	24	19	24	18
란베르스	21	26	21	21	22
노로로크스					
디로로크스	24	25	25	23	28
실버로크스					
진주토로스	23	30	22	27	23
괴조	26	25	32	13	35
노스리	27	28	38	21	21
몽키	23	26	31	18	29
바가루	26	34	32	22	23
시스트	24	29	37	15	27
아토쿠돈	26	39	27	40	8
에덴루비	26	27	29	30	20
와일로	25	28	30	22	22
바르베로스	26	27	36	19	23
타르베로스	26	27	38	16	24
케르베로스	27	29	36	17	24
티탄토스	25	37	37	38	4
흑룡	24	25	37	23	23
데오베로스	23	27	37	18	25
핑모나스	27	52	32	24	6
쥬보	22	26	31	27	19
살라토스	26	38	37	28	7
러블링	17	26	27	21	34
천룡	21	28	34	24	23
초비스	21	26	33	23	24
큐비스	23	28	33	23	25
체리	19	25	27	24	31
핑고고	21	26	31	21	29
다크돈	27	30	35	33	10
환생고르돈	30	31	30	28	20
환생기라돈	25	32	30	26	21
환생투르돈	29	32	32	23	22
환생고르고	29	30	33	22	23
환생우리	14	29	25	23	33
환생두리	20	27	31	20	31
환생얼룩우리	15	27	26	28	26
환생불그리	14	24	27	21	35
환생실버우리	20	23	26	27	31
환생쿠링	19	26	26	27	30
환생쿠쿠르	20	27	26	23	32
환생포링	18	25	27	25	31
환생리스키	16	27	24	27	31
푸우쿠돈	25	39	31	36	9
티티아	27	24	32	13	36
아카시스	24	26	37	20	24
깜무이	21	36	33	25	14
무라로스	25	29	36	26	18
피오쿠	20	21	31	15	35
핑우비	26	32	31	24	22
피츄돈	25	27	36	31	12
솔라토스	24	36	38	36	5
환생카비트	17	22	25	25	35
환생케이비	20	22	25	25	35
환생큐이	15	23	28	23	33
환생골드카비트	19	26	26	23	34
환생루이	22	39	27	29	16
환생무이	19	42	25	28	16
환생씨보스	20	40	25	32	15
환생투이	23	38	29	30	16
흑귀돈	24	28	39	18	21
빙하만모	28	54	31	25	5
마그로스	25	28	35	28	18
환생프루루	20	25	34	18	29
